[2026-03-13 08:54:49.680] Done HHO F1 run 6/30: best=3435949.64899, used_FEs=300000/300000, t=1.8726s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:54:51.957] Done HHO F1 run 7/30: best=1686427.20649, used_FEs=300000/300000, t=1.7855s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:54:54.123] Done HHO F1 run 8/30: best=3145601.09076, used_FEs=300000/300000, t=1.7303s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:54:56.215] Done HHO F1 run 9/30: best=398135.461863, used_FEs=300000/300000, t=1.5980s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:54:58.338] Done HHO F1 run 10/30: best=1748459.13913, used_FEs=300000/300000, t=1.6355s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:00.512] Done HHO F1 run 11/30: best=597416.108056, used_FEs=300000/300000, t=1.6907s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:02.519] Done HHO F1 run 12/30: best=1279486.38224, used_FEs=300000/300000, t=1.5597s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:04.718] Done HHO F1 run 13/30: best=1279604.89049, used_FEs=300000/300000, t=1.7417s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:06.761] Done HHO F1 run 14/30: best=1244769.04728, used_FEs=300000/300000, t=1.6164s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:08.995] Done HHO F1 run 15/30: best=1668120.0128, used_FEs=300000/300000, t=1.7557s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:11.243] Done HHO F1 run 16/30: best=2580631.14211, used_FEs=300000/300000, t=1.7739s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:13.412] Done HHO F1 run 17/30: best=2391957.5795, used_FEs=300000/300000, t=1.7082s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:15.543] Done HHO F1 run 18/30: best=2509659.62633, used_FEs=300000/300000, t=1.6239s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:17.712] Done HHO F1 run 19/30: best=1197350.34084, used_FEs=300000/300000, t=1.6800s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:19.769] Done HHO F1 run 20/30: best=727323.576969, used_FEs=300000/300000, t=1.5818s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:22.034] Done HHO F1 run 21/30: best=3144547.43482, used_FEs=300000/300000, t=1.7474s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:24.038] Done HHO F1 run 22/30: best=2168112.88346, used_FEs=300000/300000, t=1.5984s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:26.048] Done HHO F1 run 23/30: best=957624.085249, used_FEs=300000/300000, t=1.5437s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:28.209] Done HHO F1 run 24/30: best=2822031.58054, used_FEs=300000/300000, t=1.6957s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:30.341] Done HHO F1 run 25/30: best=3074030.44914, used_FEs=300000/300000, t=1.6315s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:32.454] Done HHO F1 run 26/30: best=820253.645328, used_FEs=300000/300000, t=1.5407s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
[2026-03-13 08:55:34.515] Done HHO F1 run 27/30: best=1861354.08453, used_FEs=300000/300000, t=1.5537s, mode=exact_derived_iteration_from_maxFEs_with_hard_stop, status=stopped_at_budget
